"North" "South" "Total"
"1" NA NA 67
"2" NA NA 59.2
"3" NA NA 48.4
"4" NA NA 56.5
"5" NA NA 66.9
"6" NA NA 79.1
"7" NA NA 91.8
"8" NA NA 87.6
"9" NA NA 52.2
"10" NA NA 66.4
"11" NA NA 99.3
"12" NA NA 159.3
"13" NA NA 74.3
"14" NA NA 57.3
"15" NA NA 38.5
"16" NA NA 42.7
"17" NA NA 46.2
"18" NA NA 42
"19" NA NA 24.7
"20" NA NA 26.4
"21" NA NA 43.4
"22" NA NA 38.5
"23" NA NA 44
"24" NA NA 31.8
"25" NA NA 12.5
"26" NA NA 41.9
"27" NA NA 31.3
"28" NA NA 44.2
"29" NA NA 26.6
"30" NA NA 23.2
"31" NA NA 18
"32" NA NA 20.8
"33" NA NA 33
"34" NA NA 9.4
"35" NA NA 16.6
"36" NA NA 11.1
"37" NA NA 15.2
"38" NA NA 10.9
"39" NA NA 9.6
"40" NA NA 8.3
"41" NA NA 14.4
"42" NA NA 18.3
"43" NA NA 8
"44" NA NA 8.6
"45" NA NA 8.1
"46" NA NA 6.9
"47" NA NA 10
"48" NA NA 10.4
"49" NA NA 10.8
"50" NA NA 19.1
"51" NA NA 7.2
"52" NA NA 2.2
"53" NA NA 1
"54" NA NA 4.2
"55" NA NA 3.2
"56" NA NA 0
"57" NA NA 5.6
"58" NA NA 3.9
"59" NA NA 0.9
"60" NA NA 0
"61" NA NA 3
"62" NA NA 7.4
"63" NA NA 3.5
"64" NA NA 12.8
"65" NA NA 20.8
"66" NA NA 5.9
"67" NA NA 3
"68" NA NA 7.2
"69" NA NA 6.8
"70" NA NA 6.6
"71" NA NA 7.9
"72" NA NA 13.3
"73" NA NA 27.9
"74" NA NA 26.5
"75" NA NA 35.1
"76" NA NA 19
"77" NA NA 36.9
"78" NA NA 66
"79" NA NA 43.1
"80" NA NA 42.7
"81" NA NA 90.9
"82" NA NA 108.8
"83" NA NA 111.4
"84" NA NA 94
"85" NA NA 75.6
"86" NA NA 75.1
"87" NA NA 77.9
