WeekDay	Today 	History 	Number
Tuesday	Tuesday Day of Wrath	 15/3/2011	0
Wednesday	Wednesday	 16/3/2011	0
Thursday	Thursday	 17/3/2011	0
Friday	First Friday	 18/3/2011	4
Saturday	Saturday	 19/3/2011	1
Sunday	Sunday	 20/3/2011	2
Monday	Monday	 21/3/2011	1
Tuesday	Tuesday	 22/3/2011	7
Wednesday	Wednesday	 23/3/2011	52
Thursday	Thursday	 24/3/2011	0
Friday	Fri dignity	 25/3/2011	20
Saturday	Saturday	 26/3/2011	15
Sunday	Sunday	 27/3/2011	6
Monday	Monday	 28/3/2011	7
Tuesday	Tuesday	 29/3/2011	0
Wednesday	Wednesday	 30/3/2011	6
Thursday	Thursday	 31/3/2011	0
Friday	Fri martyrs	 1/4/2011	29
Saturday	Saturday	 2/4/2011	0
Sunday	Sunday	 3/4/2011	0
Monday	Monday	 4/4/2011	0
Tuesday	Tuesday	 5/4/2011	4
Wednesday	Wednesday	 6/4/2011	0
Thursday	Thursday	 7/4/2011	0
Friday	Fri withstand	 8/4/2011	74
Saturday	Saturday	 9/4/2011	5
Sunday	Sunday	 10/4/2011	21
Monday	Monday	 11/4/2011	7
Tuesday	Tuesday	 12/4/2011	8
Wednesday	Wednesday	 13/4/2011	2
Thursday	Thursday	 14/4/2011	1
Friday	Fri insist	 15/4/2011	11
Saturday	Saturday	 16/4/2011	4
Sunday	Sunday	 17/4/2011	44
Monday	Monday	 18/4/2011	4
Tuesday	Tuesday	 19/4/2011	10
Wednesday	Wednesday	 20/4/2011	0
Thursday	Thursday	 21/4/2011	4
Friday	Good Friday	 22/4/2011	158
Saturday	Saturday	 23/4/2011	50
Sunday	Sunday	 24/4/2011	36
Monday	Monday	 25/4/2011	21
Tuesday	Tuesday	 26/4/2011	29
Wednesday	Wednesday	 27/4/2011	14
Thursday	Thursday	 28/4/2011	25
Friday	Fri anger	 29/4/2011	161
Saturday	Saturday	 30/4/2011	5
Sunday	Sunday	 1/5/2011	65
Monday	Monday	 2/5/2011	2
Tuesday	Tuesday	 3/5/2011	10
Wednesday	Wednesday	 4/5/2011	3
Thursday	Thursday	 5/5/2011	2
Friday	Fri challenge	 6/5/2011	43
Saturday	Saturday	 7/5/2011	14
Sunday	Sunday	 8/5/2011	25
Monday	Monday	 9/5/2011	4
Tuesday	Tuesday	 10/5/2011	18
Wednesday	Wednesday	 11/5/2011	29
Thursday	Thursday	 12/5/2011	3
Friday	Fri Silks	 13/5/2011	14
Saturday	Saturday	 14/5/2011	9
Sunday	Sunday	 15/5/2011	31
Monday	Monday	 16/5/2011	15
Tuesday	Tuesday	 17/5/2011	25
Wednesday	Wednesday	 18/5/2011	28
Thursday	Thursday	 19/5/2011	18
Friday	Fri Azadi	 20/5/2011	50
