Density,Aging,Unemploy,SunShine,Temp
248.0,24.7,5.5,1604.0,9.4
424.7,25.7,6.7,1564.0,10.6
360.1,27.1,5.7,1689.0,10.6
746.6,22.2,6.3,1726.0,12.9
340.0,29.5,5.4,1531.0,12.0
409.4,27.5,4.8,1560.0,12.1
479.8,24.9,5.7,1689.0,13.5
745.8,22.4,4.9,1868.0,14.2
673.4,21.8,4.7,1826.0,14.6
872.7,23.4,4.6,2028.0,15.1
2795.0,20.4,4.9,1950.0,15.5
1760.1,21.2,4.5,1702.0,16.3
9460.6,20.1,4.7,1783.0,16.7
6167.2,20.1,5.0,1854.0,16.3
527.2,26.2,4.5,1586.0,14.1
590.1,26.1,4.0,1560.0,14.6
842.5,23.5,4.1,1703.0,14.8
750.7,24.9,3.5,1600.0,14.7
906.3,24.5,4.1,2134.0,15.1
649.6,26.4,4.2,1894.0,12.4
945.7,24.0,4.1,2122.0,16.3
1367.4,23.7,4.1,2097.0,17.0
2490.8,20.1,4.6,2102.0,16.5
907.4,24.1,4.5,2075.0,16.3
1088.1,20.5,3.8,1825.0,15.0
2239.1,23.0,5.4,1775.0,16.1
6728.7,22.1,6.5,2001.0,17.1
2013.6,22.9,5.2,2047.0,17.1
1645.1,23.8,4.8,1803.0,15.1
914.5,27.0,4.0,2052.0,16.9
646.4,26.1,4.8,1589.0,15.0
556.9,28.9,3.7,1529.0,15.0
873.4,24.9,4.6,1996.0,16.6
1249.0,23.7,4.4,1996.0,16.4
845.8,27.9,4.2,1883.0,15.8
767.0,26.7,4.7,2063.0,16.9
993.0,25.4,4.1,2009.0,16.9
858.7,26.4,4.5,2003.0,16.9
658.7,28.5,5.7,2137.0,17.5
1828.6,22.1,5.7,1807.0,17.3
637.5,24.5,3.8,1947.0,16.9
873.2,25.9,4.7,1900.0,17.4
665.2,25.5,4.6,1985.0,17.5
685.4,26.5,4.4,1999.0,17.0
615.1,25.7,4.9,2172.0,17.8
521.7,26.4,4.8,1959.0,19.0
1193.0,17.3,7.5,1877.0,23.4
