todofuken	pref	fert	raw	std
北海道	Hokkaido	1.19	27.7	26.0
青　森	Aomori	1.26	36.2	32.4
岩　手	Iwate	1.37	32.9	29.2
宮　城	Miyagi	1.25	29.4	27.8
秋　田	Akita	1.29	33.0	30.1
山　形	Yamagata	1.39	32.6	29.2
福　島	Fukushima	1.49	36.7	31.2
茨　城	Ibaraki	1.37	31.4	29.0
栃　木	Tochigi	1.43	27.4	25.6
群　馬	Gunma	1.38	27.7	26.6
埼　玉	Saitama	1.28	22.8	24.0
千　葉	Chiba	1.31	22.8	23.9
東　京	Tokyo	1.12	19.5	24.2
神奈川	Kanagawa	1.28	19.5	22.7
新　潟	Niigata	1.37	27.7	26.5
富　山	Toyama	1.37	22.9	23.4
石　川	Ishikawa	1.40	26.6	25.8
福　井	Fukui	1.55	27.9	26.9
山　梨	Yamanashi	1.31	26.6	27.2
長　野	Nagano	1.43	24.3	25.1
岐　阜	Gifu	1.37	24.8	24.1
静　岡	Shizuoka	1.43	26.2	25.0
愛　知	Aichi	1.43	21.8	22.2
三　重	Mie	1.40	26.7	25.4
滋　賀	Shiga	1.44	21.7	21.6
京　都	Kyoto	1.20	21.6	23.1
大　阪	Osaka	1.28	24.0	24.3
兵　庫	Hyogo	1.33	22.5	22.9
奈　良	Nara	1.23	22.6	23.0
和歌山	Wakayama	1.36	29.4	26.0
鳥　取	Tottori	1.46	29.9	27.4
島　根	Shimane	1.55	30.2	27.2
岡　山	Okayama	1.39	27.6	25.4
広　島	Hiroshima	1.47	24.9	23.5
山　口	Yamaguchi	1.43	27.3	24.6
徳　島	Tokushima	1.35	26.9	25.4
香　川	Kagawa	1.48	25.2	23.0
愛　媛	Ehime	1.41	29.2	26.3
高　知	Kochi	1.29	30.1	28.2
福　岡	Fukuoka	1.37	29.8	28.2
佐　賀	Saga	1.49	37.5	33.3
長　崎	Nagasaki	1.50	34.6	30.5
熊　本	Kumamoto	1.58	36.0	32.0
大　分	Oita	1.50	30.6	28.1
宮　崎	Miyazaki	1.61	33.5	29.6
鹿児島	Kagoshima	1.56	31.2	28.2
沖　縄	Okinawa	1.79	42.4	38.2
全　国	Zenkoku	1.37	25.3	25.3
