KEY_CODE,total,male,femail,family
523926863,0,0,0,0
523926864,10,3,7,5
523926871,0,0,0,0
523926872,6,2,4,3
523926873,152,75,77,62
523926874,141,63,78,58
523926881,0,0,0,0
523926883,31,15,16,14
523926884,7,2,5,2
523926892,0,0,0,0
523926893,1,0,1,1
523926894,331,144,187,138
523926952,0,0,0,0
523926954,63,26,37,28
523926961,0,0,0,0
523926962,1,1,0,1
523926963,44,19,25,22
523926964,0,0,0,0
523926971,47,23,24,22
523926972,162,73,89,66
523926973,0,0,0,0
523926974,0,0,0,0
523926981,91,40,51,31
523926982,93,48,45,36
523926983,0,0,0,0
523926984,0,0,0,0
523926991,109,48,61,45
523926992,202,104,98,87
523926993,1,0,1,1
523926994,148,67,81,60
523947791,16,8,8,5
523947792,33,16,17,13
523947793,0,0,0,0
523947794,12,6,6,5
523947801,0,0,0,0
523947802,0,0,0,0
523947803,0,0,0,0
523947804,0,0,0,0
523947811,0,0,0,0
523947812,51,27,24,15
523947813,0,0,0,0
523947814,4,2,2,1
523947821,15,8,7,5
523947822,5,2,3,1
523947823,16,9,7,3
523947824,0,0,0,0
523947831,12,5,7,6
523947832,3,2,1,1
523947833,12,6,6,5
523947834,0,0,0,0
523947841,36,16,20,13
523947842,12,6,6,6
523947843,0,0,0,0
523947844,0,0,0,0
523947851,2,1,1,2
523947852,14,6,8,4
523947853,0,0,0,0
523947854,0,0,0,0
523947861,16,9,7,5
523947862,30,14,16,12
523947863,10,7,3,4
523947864,14,6,8,5
523947871,11,7,4,4
523947872,0,0,0,0
523947873,0,0,0,0
523947874,0,0,0,0
523947881,0,0,0,0
523947882,0,0,0,0
523947883,0,0,0,0
523947884,1,1,0,1
523947891,0,0,0,0
523947892,10,5,5,2
523927704,0,0,0,0
523927713,0,0,0,0
523927801,0,0,0,0
523927802,46,19,27,22
523927803,198,80,118,53
523927804,379,183,196,155
523927811,66,29,37,26
523927813,346,156,190,153
523927814,304,141,163,146
523927821,0,0,0,0
523927822,0,0,0,0
523927823,274,122,152,121
523927824,149,67,82,67
523927833,17,6,11,7
523927834,0,0,0,0
523927901,47,19,28,18
523927902,114,52,62,41
523927903,13,6,7,5
523927904,0,0,0,0
523927911,64,27,37,32
523927912,320,143,177,128
523927913,0,0,0,0
523927914,0,0,0,0
523927921,268,124,144,106
523927922,180,84,96,80
523927923,0,0,0,0
523927924,0,0,0,0
523927931,277,121,156,118
523927932,173,79,94,74
523927933,23,10,13,10
523927934,100,48,52,42
523927941,14,8,6,5
523927942,0,0,0,0
523927943,97,44,53,42
523927944,26,12,14,8
523927953,0,0,0,0
523936052,66,28,38,28
523936054,14,5,9,7
523936061,261,112,149,132
523936062,0,0,0,0
523936063,468,214,254,200
523936064,95,46,49,37
523936071,4,2,2,2
523936072,0,0,0,0
523936073,21,11,10,12
523936074,19,10,9,8
523936081,0,0,0,0
523936082,3,2,1,1
523936083,40,18,22,15
523936084,35,18,17,14
523936091,0,0,0,0
523936092,24,10,14,7
523936093,6,3,3,2
523936094,0,0,0,0
523936154,0,0,0,0
523936161,137,67,70,71
523936162,253,116,137,106
523936163,11,4,7,6
523936164,131,66,65,41
523936171,128,68,60,45
523936172,84,37,47,31
523936173,98,43,55,32
523936174,147,80,67,20
523936181,66,31,35,24
523936182,69,35,34,24
523936183,0,0,0,0
523936184,0,0,0,0
523936191,70,30,40,25
523936192,2,1,1,1
523936193,75,34,41,25
523936194,64,29,35,26
523936252,0,0,0,0
523936253,0,0,0,0
523936254,10,5,5,3
523936261,16,8,8,6
523936262,262,125,137,121
523936263,17,7,10,6
523936264,0,0,0,0
523936271,146,73,73,63
523936272,54,29,25,17
523936273,99,47,52,41
523936274,27,13,14,12
523936281,2,1,1,1
523936282,56,25,31,16
523936283,58,29,29,19
523936284,2,1,1,1
523936291,118,56,62,41
523936292,10,5,5,6
523936293,0,0,0,0
523936294,30,14,16,10
523936334,0,0,0,0
523936342,0,0,0,0
523936343,0,0,0,0
523936344,0,0,0,0
523936351,0,0,0,0
523936352,11,6,5,7
523936353,43,22,21,13
523936354,18,8,10,6
523936361,22,11,11,12
523936362,81,41,40,28
523936363,67,31,36,31
523936364,98,50,48,32
523936371,87,36,51,32
523936372,64,30,34,30
523936373,13,9,4,9
523936374,27,14,13,8
523936381,68,31,37,26
523936382,0,0,0,0
523936383,0,0,0,0
523936384,0,0,0,0
523936391,0,0,0,0
523936392,36,19,17,17
523936393,0,0,0,0
523936394,0,0,0,0
523936413,0,0,0,0
523936414,156,70,86,64
523936422,0,0,0,0
523936423,62,30,32,21
523936424,56,29,27,20
523936431,11,3,8,4
523936432,0,0,0,0
523936433,23,11,12,9
523936434,92,40,52,28
523936441,6,3,3,3
523936442,8,3,5,3
523936443,6,2,4,2
523936444,0,0,0,0
523936451,65,32,33,20
523936452,40,22,18,22
523936453,24,13,11,5
523936454,0,0,0,0
523936461,180,93,87,56
523936462,63,27,36,25
523936463,21,9,12,7
523936464,15,8,7,5
523936471,70,31,39,29
523936472,6,3,3,1
523936473,32,16,16,16
523936474,27,14,13,11
523936481,0,0,0,0
523936482,0,0,0,0
523936483,47,22,25,17
523936484,25,11,14,10
523936491,0,0,0,0
523936492,0,0,0,0
523936493,15,7,8,5
523936494,11,5,6,3
523936501,0,0,0,0
523936502,108,44,64,42
523936503,0,0,0,0
523936504,91,41,50,36
523936511,37,16,21,12
523936512,5,3,2,1
523936513,0,0,0,0
523936514,0,0,0,0
523936521,0,0,0,0
523936522,31,14,17,13
523936523,0,0,0,0
523936524,0,0,0,0
523936531,54,27,27,21
523936532,16,8,8,6
523936533,37,18,19,16
523936534,19,10,9,10
523936541,0,0,0,0
523936542,0,0,0,0
523936543,0,0,0,0
523936544,0,0,0,0
523936551,0,0,0,0
523936552,0,0,0,0
523936553,0,0,0,0
523936554,0,0,0,0
523936561,0,0,0,0
523936562,0,0,0,0
523936563,0,0,0,0
523936564,0,0,0,0
523936571,7,3,4,3
523936572,0,0,0,0
523936573,0,0,0,0
523936574,0,0,0,0
523936581,5,3,2,2
523936582,14,6,8,5
523936583,0,0,0,0
523936584,14,6,8,5
523936591,55,28,27,22
523936592,27,17,10,7
523936593,16,10,6,6
523936594,53,26,27,17
523936601,18,9,9,4
523936602,113,55,58,29
523936603,71,36,35,25
523936604,107,51,56,38
523936611,0,0,0,0
523936612,0,0,0,0
523936613,11,3,8,6
523936614,68,30,38,29
523936621,0,0,0,0
523936622,102,28,74,25
523936623,82,36,46,31
523936624,162,73,89,67
523936631,127,63,64,52
523936632,89,43,46,41
523936633,109,54,55,46
523936634,92,41,51,45
523936641,42,19,23,21
523936642,0,0,0,0
523936643,92,45,47,40
523936644,124,59,65,61
523936651,0,0,0,0
523936652,0,0,0,0
523936653,34,19,15,13
523936654,10,3,7,5
523936661,0,0,0,0
523936662,0,0,0,0
523936663,0,0,0,0
523936664,0,0,0,0
523936671,0,0,0,0
523936672,0,0,0,0
523936673,0,0,0,0
523936674,17,11,6,10
523936681,0,0,0,0
523936682,0,0,0,0
523936683,0,0,0,0
523936684,9,5,4,4
523936691,2,1,1,1
523936692,47,24,23,22
523936693,156,74,82,62
523936694,153,70,83,65
523936701,8,3,5,3
523936702,31,14,17,20
523936711,4,2,2,3
523936712,61,27,34,32
523936721,9,3,6,7
523936741,41,19,22,18
523936742,196,60,136,42
523936751,142,63,79,57
523936752,78,32,46,37
523936754,48,23,25,20
523936761,370,147,223,148
523936762,258,133,125,112
523936763,571,337,234,232
523936764,640,314,326,301
523936771,211,94,117,79
523936772,47,23,24,20
523936773,474,235,239,228
523936774,752,350,402,332
523936781,231,109,122,89
523936782,633,307,326,239
523936783,723,355,368,296
523936784,658,318,340,307
523936791,520,256,264,239
523936792,251,121,130,97
523936793,714,357,357,321
523936794,359,159,200,167
523936852,0,0,0,0
523936861,341,186,155,141
523936862,234,191,43,25
523936863,0,0,0,0
523936864,0,0,0,0
523936871,237,157,80,54
523936872,349,183,166,177
523936873,6,6,0,1
523936881,969,459,510,324
523936882,1263,586,677,586
523936883,153,78,75,70
523936884,840,383,457,380
523936891,1167,566,601,510
523936892,800,375,425,379
523936893,891,398,493,417
523936894,667,313,354,293
523936971,0,0,0,0
523936981,0,0,0,0
523936982,528,244,284,243
523936984,301,141,160,163
523936991,856,417,439,403
523936992,394,173,221,173
523936993,819,384,435,396
523936994,621,292,329,252
523937001,0,0,0,0
523937002,26,10,16,9
523937003,0,0,0,0
523937004,17,8,9,7
523937011,0,0,0,0
523937012,0,0,0,0
523937013,5,3,2,4
523937014,0,0,0,0
523937021,0,0,0,0
523937022,0,0,0,0
523937023,0,0,0,0
523937024,0,0,0,0
523937031,0,0,0,0
523937032,0,0,0,0
523937033,0,0,0,0
523937034,0,0,0,0
523937041,0,0,0,0
523937042,11,3,8,5
523937043,0,0,0,0
523937044,35,17,18,14
523937051,14,6,8,4
523937053,450,207,243,176
523937054,4,2,2,1
523937101,0,0,0,0
523937102,0,0,0,0
523937103,0,0,0,0
523937104,0,0,0,0
523937111,0,0,0,0
523937112,5,3,2,3
523937113,0,0,0,0
523937114,2,1,1,1
523937121,0,0,0,0
523937122,0,0,0,0
523937123,13,7,6,5
523937124,0,0,0,0
523937131,0,0,0,0
523937132,0,0,0,0
523937133,0,0,0,0
523937134,0,0,0,0
523937141,0,0,0,0
523937142,0,0,0,0
523937143,0,0,0,0
523937144,0,0,0,0
523937151,129,58,71,47
523937152,214,110,104,83
523937153,2,0,2,2
523937154,417,188,229,160
523937161,0,0,0,0
523937163,82,39,43,24
523937164,0,0,0,0
523937201,0,0,0,0
523937202,0,0,0,0
523937203,0,0,0,0
523937204,0,0,0,0
523937211,0,0,0,0
523937212,0,0,0,0
523937213,0,0,0,0
523937214,0,0,0,0
523937221,0,0,0,0
523937222,56,29,27,22
523937223,0,0,0,0
523937224,9,7,2,6
523937231,18,7,11,7
523937232,0,0,0,0
523937233,6,4,2,2
523937234,0,0,0,0
523937241,0,0,0,0
523937242,0,0,0,0
523937243,0,0,0,0
523937244,0,0,0,0
523937251,0,0,0,0
523937252,105,56,49,37
523937253,0,0,0,0
523937254,32,14,18,11
523937261,267,129,138,114
523937262,43,17,26,17
523937263,127,55,72,51
523937264,98,43,55,36
523937273,0,0,0,0
523937301,73,36,37,32
523937302,64,35,29,31
523937303,0,0,0,0
523937304,0,0,0,0
523937311,30,17,13,15
523937312,1,0,1,1
523937313,0,0,0,0
523937314,0,0,0,0
523937321,0,0,0,0
523937322,0,0,0,0
523937323,0,0,0,0
523937324,0,0,0,0
523937331,0,0,0,0
523937332,0,0,0,0
523937333,0,0,0,0
523937334,0,0,0,0
523937341,0,0,0,0
523937342,0,0,0,0
523937343,0,0,0,0
523937344,0,0,0,0
523937351,0,0,0,0
523937352,0,0,0,0
523937353,0,0,0,0
523937354,0,0,0,0
523937361,0,0,0,0
523937362,285,134,151,108
523937363,21,11,10,7
523937364,309,134,175,85
523937371,43,19,24,15
523937373,251,117,134,101
523937401,0,0,0,0
523937402,0,0,0,0
523937403,0,0,0,0
523937404,0,0,0,0
523937411,0,0,0,0
523937412,0,0,0,0
523937413,0,0,0,0
523937414,0,0,0,0
523937421,0,0,0,0
523937422,0,0,0,0
523937423,0,0,0,0
523937424,0,0,0,0
523937431,0,0,0,0
523937432,0,0,0,0
523937433,0,0,0,0
523937434,5,1,4,2
523937441,0,0,0,0
523937442,0,0,0,0
523937443,12,6,6,4
523937444,9,3,6,3
523937451,0,0,0,0
523937452,0,0,0,0
523937453,3,2,1,2
523937454,74,35,39,26
523937461,0,0,0,0
523937462,562,263,299,229
523937463,7,2,5,2
523937464,554,249,305,244
523937471,186,72,114,89
523937473,25,9,16,20
523937501,18,9,9,10
523937502,2,0,2,1
523937503,119,53,66,41
523937504,10,6,4,3
523937511,14,6,8,3
523937512,0,0,0,0
523937513,18,8,10,6
523937514,6,4,2,1
523937521,0,0,0,0
523937522,0,0,0,0
523937523,0,0,0,0
523937524,0,0,0,0
523937531,0,0,0,0
523937532,0,0,0,0
523937533,0,0,0,0
523937534,0,0,0,0
523937541,0,0,0,0
523937542,2,2,0,2
523937543,0,0,0,0
523937544,0,0,0,0
523937551,0,0,0,0
523937552,82,40,42,29
523937553,0,0,0,0
523937554,7,2,5,2
523937561,213,103,110,83
523937562,1034,467,567,393
523937563,350,168,182,148
523937564,413,188,225,167
523937601,75,33,42,27
523937602,64,33,31,22
523937603,66,26,40,25
523937604,60,30,30,17
523937611,103,54,49,32
523937612,4,2,2,3
523937613,66,32,34,19
523937614,0,0,0,0
523937621,0,0,0,0
523937622,11,7,4,4
523937623,0,0,0,0
523937624,14,6,8,6
523937631,13,6,7,4
523937632,0,0,0,0
523937633,46,29,17,20
523937634,35,17,18,13
523937641,5,2,3,1
523937642,0,0,0,0
523937643,36,17,19,13
523937644,44,16,28,12
523937651,0,0,0,0
523937652,11,5,6,3
523937653,15,6,9,4
523937654,0,0,0,0
523937661,330,154,176,122
523937662,264,104,160,79
523937663,273,133,140,105
523937664,216,103,113,98
523937673,0,0,0,0
523937701,234,117,117,85
523937702,57,30,27,27
523937703,132,66,66,51
523937704,41,21,20,15
523937711,104,48,56,39
523937712,119,56,63,35
523937713,7,3,4,4
523937714,19,9,10,6
523937721,2,0,2,2
523937722,0,0,0,0
523937723,0,0,0,0
523937724,0,0,0,0
523937731,0,0,0,0
523937732,32,20,12,13
523937733,0,0,0,0
523937734,0,0,0,0
523937741,73,38,35,30
523937742,38,17,21,15
523937743,8,3,5,2
523937744,94,48,46,33
523937751,17,11,6,8
523937752,11,5,6,5
523937753,67,31,36,22
523937754,215,106,109,85
523937761,378,185,193,158
523937762,294,138,156,140
523937763,369,163,206,132
523937764,200,99,101,76
523937771,53,29,24,28
523937773,166,72,94,74
523937774,0,0,0,0
523937801,235,114,121,95
523937802,145,67,78,51
523937803,217,104,113,98
523937804,188,105,83,96
523937811,46,22,24,14
523937812,60,29,31,26
523937813,271,115,156,65
523937814,201,98,103,72
523937821,44,21,23,15
523937822,0,0,0,0
523937823,0,0,0,0
523937824,2,1,1,1
523937831,1,1,0,1
523937832,2,1,1,1
523937833,53,29,24,20
523937834,51,22,29,16
523937841,16,8,8,6
523937842,0,0,0,0
523937843,17,9,8,7
523937844,13,6,7,8
523937851,32,13,19,14
523937852,132,70,62,54
523937853,47,24,23,16
523937854,24,13,11,10
523937861,83,41,42,33
523937862,105,56,49,38
523937863,19,10,9,5
523937864,97,47,50,33
523937871,371,170,201,140
523937872,114,56,58,41
523937873,344,155,189,118
523937874,114,56,58,38
523937901,288,139,149,119
523937902,199,125,74,114
523937903,636,324,312,257
523937904,7,3,4,3
523937911,153,70,83,56
523937912,0,0,0,0
523937913,259,124,135,97
523937914,69,34,35,28
523937921,0,0,0,0
523937922,34,14,20,12
523937923,162,87,75,61
523937924,150,74,76,66
523937931,50,25,25,17
523937932,154,73,81,53
523937933,196,87,109,78
523937934,57,29,28,22
523937941,0,0,0,0
523937942,0,0,0,0
523937943,0,0,0,0
523937944,0,0,0,0
523937951,0,0,0,0
523937952,4,2,2,1
523937953,60,31,29,20
523937954,2,1,1,2
523937961,85,41,44,33
523937962,45,22,23,20
523937963,11,7,4,3
523937964,23,12,11,12
523937971,136,65,71,48
523937972,7,3,4,4
523937973,46,27,19,13
523937974,64,37,27,23
523946442,0,0,0,0
523946444,0,0,0,0
523946451,0,0,0,0
523946452,62,29,33,31
523946453,0,0,0,0
523946454,0,0,0,0
523946461,418,191,227,150
523946462,263,133,130,76
523946463,312,155,157,138
523946464,259,129,130,95
523946471,12,6,6,6
523946472,92,49,43,35
523946473,145,73,72,40
523946474,82,40,42,32
523946481,111,49,62,44
523946482,36,16,20,12
523946483,45,19,26,17
523946484,52,18,34,24
523946491,37,17,20,12
523946492,2,1,1,1
523946493,58,25,33,22
523946494,23,10,13,9
523946542,0,0,0,0
523946551,0,0,0,0
523946561,18,10,8,9
523946562,816,384,432,312
523946564,256,121,135,104
523946571,154,75,79,56
523946572,57,28,29,22
523946573,33,16,17,15
523946574,0,0,0,0
523946581,49,25,24,20
523946582,34,17,17,10
523946583,64,35,29,26
523946584,49,24,25,19
523946591,9,5,4,4
523946592,0,0,0,0
523946593,0,0,0,0
523946594,0,0,0,0
523946082,516,251,265,260
523946084,52,26,26,32
523946091,895,418,477,389
523946092,599,275,324,260
523946093,596,276,320,240
523946094,407,192,215,163
523946182,131,58,73,58
523946183,0,0,0,0
523946184,421,209,212,168
523946191,698,287,411,222
523946192,403,195,208,164
523946193,94,45,49,39
523946194,78,35,43,32
523946274,17,10,7,7
523946281,23,11,12,11
523946282,599,272,327,259
523946283,355,173,182,149
523946284,833,392,441,353
523946291,130,59,71,60
523946292,241,116,125,79
523946293,600,283,317,243
523946294,165,80,85,63
523946354,0,0,0,0
523946363,2,1,1,1
523946364,82,37,45,34
523946371,695,326,369,294
523946372,837,364,473,317
523946373,366,167,199,141
523946374,397,201,196,148
523946381,815,389,426,327
523946382,37,20,17,17
523946383,254,116,138,98
523946384,15,8,7,5
523946391,290,137,153,102
523946392,191,96,95,70
523946393,60,31,29,23
523946394,28,13,15,12
523946661,88,41,47,34
523946662,289,139,150,95
523946663,152,75,77,58
523946664,5,3,2,2
523946671,0,0,0,0
523946672,0,0,0,0
523946673,0,0,0,0
523946674,20,9,11,7
523946681,91,29,62,14
523946682,45,23,22,13
523946683,0,0,0,0
523946684,35,20,15,12
523946691,0,0,0,0
523946692,2,1,1,1
523946693,15,6,9,7
523946694,9,4,5,4
523946752,0,0,0,0
523946754,50,28,22,20
523946761,338,159,179,118
523946762,4,2,2,2
523946763,172,74,98,50
523946764,0,0,0,0
523946771,0,0,0,0
523946772,30,16,14,7
523946773,0,0,0,0
523946774,0,0,0,0
